"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"02/08/2021","5.960","6.060","6.065","5.905","119,98M","-0,17%"
"03/08/2021","6.145","6.025","6.180","5.985","110,07M","3,10%"
"04/08/2021","6.120","6.145","6.150","6.060","41,11M","-0,41%"
"05/08/2021","6.300","6.170","6.310","6.140","93,77M","2,94%"
"06/08/2021","6.160","6.360","6.360","6.135","67,29M","-2,22%"
"09/08/2021","6.200","6.135","6.200","6.105","52,86M","0,65%"
"10/08/2021","6.300","6.250","6.300","6.115","60,45M","1,61%"
"12/08/2021","6.300","6.120","6.320","6.120","118,33M","0,00%"
"13/08/2021","6.410","6.350","6.435","6.325","86,93M","1,75%"
"16/08/2021","6.420","6.420","6.420","6.305","69,28M","0,16%"
"18/08/2021","6.600","6.520","6.760","6.460","186,35M","2,80%"
"19/08/2021","6.600","6.600","6.600","6.530","100,93M","0,00%"
"20/08/2021","6.600","6.600","6.600","6.510","120,16M","0,00%"
"23/08/2021","6.590","6.515","6.590","6.515","68,25M","-0,15%"
"24/08/2021","6.600","6.570","6.600","6.500","59,56M","0,15%"
"25/08/2021","6.600","6.600","6.605","6.585","80,75M","0,00%"
"26/08/2021","6.560","6.560","6.580","6.470","74,34M","-0,61%"
"27/08/2021","6.510","6.490","6.530","6.490","71,57M","-0,76%"
"30/08/2021","6.565","6.530","6.580","6.520","74,56M","0,84%"
"31/08/2021","6.550","6.520","6.570","6.515","115,37M","-0,23%"
"01/09/2021","6.565","6.550","6.600","6.535","67,36M","0,23%"
"02/09/2021","6.540","6.525","6.575","6.455","53,26M","-0,38%"
"03/09/2021","6.600","6.560","6.600","6.515","35,76M","0,92%"
"06/09/2021","6.575","6.600","6.605","6.550","36,78M","-0,38%"
"07/09/2021","6.570","6.595","6.605","6.570","53,90M","-0,08%"
"08/09/2021","6.440","6.550","6.595","6.420","77,89M","-1,98%"
"09/09/2021","6.570","6.410","6.570","6.410","110,07M","2,02%"
"10/09/2021","6.520","6.495","6.565","6.495","41,48M","-0,76%"
"13/09/2021","6.555","6.560","6.560","6.525","29,93M","0,54%"
"14/09/2021","6.545","6.590","6.595","6.495","51,99M","-0,15%"
"15/09/2021","6.495","6.545","6.550","6.485","44,51M","-0,76%"
"16/09/2021","6.500","6.580","6.580","6.480","58,67M","0,08%"
"17/09/2021","6.520","6.490","6.535","6.480","117,54M","0,31%"
"20/09/2021","6.585","6.570","6.590","6.510","73,16M","1,00%"
"21/09/2021","6.490","6.510","6.535","6.470","57,12M","-1,44%"
"22/09/2021","6.555","6.500","6.580","6.500","68,72M","1,00%"
"23/09/2021","6.580","6.555","6.590","6.545","61,00M","0,38%"
"24/09/2021","6.585","6.500","6.585","6.500","60,54M","0,08%"
"27/09/2021","6.580","6.585","6.595","6.555","55,05M","-0,08%"
"28/09/2021","6.520","6.540","6.560","6.500","80,19M","-0,91%"
"29/09/2021","6.580","6.520","6.580","6.515","74,08M","0,92%"
"30/09/2021","7.000","6.600","7.000","6.595","156,85M","6,38%"
"01/10/2021","6.760","6.900","6.900","6.710","103,95M","-3,43%"
"04/10/2021","6.960","6.740","6.960","6.740","74,72M","2,96%"
"05/10/2021","6.945","6.910","6.945","6.860","54,99M","-0,22%"
"06/10/2021","7.180","6.980","7.180","6.970","174,31M","3,38%"
"07/10/2021","7.160","7.175","7.175","7.080","107,26M","-0,28%"
"08/10/2021","7.290","7.200","7.300","7.175","94,64M","1,82%"
"11/10/2021","7.255","7.240","7.290","7.230","47,20M","-0,48%"
"12/10/2021","7.320","7.255","7.320","7.245","91,07M","0,90%"
"13/10/2021","7.525","7.400","8.250","7.400","210,89M","2,80%"
"14/10/2021","7.750","7.600","7.900","7.600","138,81M","2,99%"
"15/10/2021","7.650","7.800","7.875","7.450","142,38M","-1,29%"
"18/10/2021","7.525","7.650","7.675","7.475","116,64M","-1,63%"
"19/10/2021","7.500","7.475","7.525","7.350","134,60M","-0,33%"
"21/10/2021","7.400","7.500","7.550","7.350","106,12M","-1,33%"
"22/10/2021","7.525","7.450","7.550","7.425","96,73M","1,69%"
"25/10/2021","7.525","7.400","7.525","7.400","60,33M","0,00%"
"26/10/2021","7.525","7.600","7.600","7.500","70,10M","0,00%"
"27/10/2021","7.450","7.575","7.575","7.425","57,07M","-1,00%"
"28/10/2021","7.375","7.350","7.425","7.350","75,27M","-1,01%"
"29/10/2021","7.475","7.450","7.475","7.375","60,64M","1,36%"
"01/11/2021","7.400","7.550","7.550","7.400","38,59M","-1,00%"
"02/11/2021","7.300","7.375","7.425","7.250","90,54M","-1,35%"
"03/11/2021","7.350","7.300","7.400","7.250","61,62M","0,68%"
"04/11/2021","7.375","7.425","7.475","7.375","61,08M","0,34%"
"05/11/2021","7.450","7.475","7.475","7.375","43,12M","1,02%"
"08/11/2021","7.575","7.500","7.600","7.450","85,44M","1,68%"
"09/11/2021","7.675","7.600","7.675","7.575","101,79M","1,32%"
"10/11/2021","7.650","7.675","7.675","7.575","47,50M","-0,33%"
"11/11/2021","7.675","7.700","7.750","7.600","55,79M","0,33%"
"12/11/2021","7.525","7.750","7.750","7.525","52,59M","-1,95%"
